pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
10.2078	1.58549	5.94531	0.592457	1.60592	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0781246	0.107793	1.49928	1.23821	1.62606	
10.3852	1.55157	4.90492	0.392061	0.385156	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0772241	0.108108	1.48145	1.22606	2.24301	
10.6345	1.65126	5.14444	0.398416	0.34323	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0763773	0.109492	1.46312	1.21516	0.953454	
10.8286	1.54156	4.38241	0.0720213	-1.21503	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0755361	0.108213	1.44759	1.21208	1.66917	
11.1274	1.52893	5.56905	-0.0523169	-1.45839	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.0747704	0.10821	1.43407	1.22774	1.90778	
11.4444	1.57865	6.02323	0.017211	-0.767977	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0755414	0.108855	1.42835	1.23268	1.53339	
11.6775	1.56684	5.58581	-0.0396675	-0.8635	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.0759963	0.112744	1.41652	1.249	0.562224	
11.8621	1.70958	5.082	0.196786	0.332001	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.0753491	0.114065	1.40095	1.23908	0.866201	
12.1223	1.84671	5.73618	0.36789	1.02493	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.0750079	0.113972	1.38824	1.2265	0.977981	
12.3579	1.82554	5.52608	0.217606	0.168663	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.0746383	0.117202	1.37667	1.21664	0.360653	
12.6171	1.86112	5.80264	0.182965	-0.0357112	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.0747019	0.122609	1.36977	1.20967	0.156228	
